,Lot,CD,ZipCode,ZoneDist1,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,BsmtCode,YearBuilt,BoroCode,CondoNo,BIN,IsBopa,geox,geoy
4661,64,111,10035.0,17,16,4.0,4445,14664,3666,10998,0,3666,0,0,0,0,1,4.0,8,10,45.0,100.92,45.0,89.0,3.0,2.0,1900,1,0,1054016,0,40.805843666334646,-73.94164150458109
4662,66,111,10035.0,17,16,4.0,10092,41080,9120,31960,0,9120,0,0,0,0,1,5.0,36,40,100.0,100.92,100.0,100.0,3.0,2.0,1900,1,0,1054017,0,40.80594261503471,-73.9419159444968
4663,160,111,10035.0,17,140,4.0,2018,4042,1032,3010,0,1032,0,0,0,0,1,4.0,6,7,20.0,100.92,20.0,55.0,3.0,2.0,1910,1,0,1054024,0,40.805720005278076,-73.94134902634478
4664,1,111,10035.0,17,78,4.0,16986,58000,58000,0,30000,15000,0,13000,0,0,2,3.0,0,10,199.83,85.0,199.0,75.0,2.0,2.0,1940,1,0,1054026,0,40.80665339634511,-73.94171303925847
4665,21,111,10035.0,18,78,4.0,7621,14688,14688,0,0,14688,0,0,0,0,4,3.0,0,3,72.67,99.92,72.0,68.0,2.0,2.0,1920,1,0,1082075,0,40.80587314403457,-73.94024717366901
4666,23,111,10035.0,18,86,6.0,1857,4691,1900,2791,0,1900,0,0,0,0,1,4.0,3,4,18.58,99.92,19.0,100.0,3.0,2.0,1915,1,0,1054034,0,40.805807191929844,-73.94009552107445
4667,25,111,10035.0,18,16,4.0,1682,6048,1500,4548,0,1500,0,0,0,0,1,4.0,7,8,16.83,99.92,17.0,90.0,3.0,2.0,1930,1,0,1054036,0,40.80576047150339,-73.93997997326011
4668,26,111,10035.0,18,16,4.0,3314,11920,1500,10420,0,1500,0,0,0,0,1,4.0,12,14,33.17,99.92,33.0,90.0,3.0,2.0,1930,1,0,1054037,0,40.80572749341664,-73.93990053500626
4669,32,111,10035.0,18,16,4.0,2798,12100,2420,9680,0,2420,0,0,0,0,1,5.0,20,22,28.0,99.92,28.0,98.0,3.0,2.0,1900,1,0,1054043,0,40.80552138577501,-73.93941669029309
4670,40,111,10035.0,35,40,10.0,13493,0,0,0,0,0,0,0,0,0,1,0.0,0,0,149.92,90.0,0.0,0.0,0.0,5.0,0,1,0,1054045,0,40.805633746239856,-73.93908787997586
4671,53,111,10035.0,69,16,4.0,1745,4584,1000,3584,1000,0,0,0,0,0,1,4.0,9,10,19.5,89.5,20.0,64.0,3.0,1.0,1900,1,0,1054057,0,40.80601031274478,-73.9401170114467
4672,56,111,10035.0,69,14,2.0,1660,4658,658,4000,0,658,0,0,0,0,1,3.0,6,7,20.0,83.0,20.0,54.0,2.0,1.0,1909,1,0,1054058,0,40.806304162851035,-73.94043462179368
4673,62,111,10035.0,69,18,2.0,1873,2922,0,2922,0,0,0,0,0,0,1,3.0,4,4,18.75,99.92,19.0,54.0,3.0,5.0,1909,1,0,1054064,0,40.806482820810864,-73.94092211193313
4674,63,111,10035.0,69,12,2.0,1873,3748,0,3748,0,0,0,0,0,0,1,3.0,4,4,18.75,99.92,19.0,50.0,3.0,2.0,1909,1,0,1054065,0,40.80650755292546,-73.9409798855608
4675,65,111,10035.0,69,12,2.0,1873,3910,0,3910,0,0,0,0,0,0,1,3.0,4,4,18.75,99.92,18.75,50.0,0.0,5.0,1909,1,0,1054067,0,40.80655976548214,-73.94110265496572
4676,104,111,10035.0,17,140,4.0,1499,3418,892,2526,892,0,0,0,0,0,1,3.0,6,7,15.0,99.92,15.0,45.0,3.0,1.0,1910,1,0,1054071,0,40.80646122915356,-73.94164096311603
4677,1,111,10035.0,70,28,3.0,11990,59269,2365,56904,0,0,0,0,0,2365,1,6.0,40,41,99.92,120.0,99.0,109.0,3.0,2.0,1921,1,0,1054079,0,40.80713351030757,-73.94129359692657
4678,14,111,10035.0,70,12,2.0,1693,3054,0,3054,0,0,0,0,0,0,1,4.0,4,4,19.92,85.0,19.0,76.0,3.0,5.0,1909,1,0,1054088,0,40.80660878420024,-73.94035126791223
4679,44,111,10035.0,70,15,2.0,2498,10962,0,10962,0,0,0,0,0,0,1,6.0,18,18,25.0,99.92,25.0,85.0,2.0,2.0,1921,1,0,1054106,0,40.80649280462844,-73.93901123713181
4680,46,111,10035.0,70,14,2.0,1873,2617,0,2617,0,0,0,0,0,0,1,3.0,11,11,18.75,99.92,18.75,48.0,0.0,2.0,1909,1,0,1054108,0,40.80655601152258,-73.93915928049819
4681,57,111,10035.0,70,11,2.0,1700,5500,0,5500,0,0,0,0,0,0,1,4.0,5,5,20.0,85.0,20.0,54.0,3.0,5.0,1909,1,0,1054116,0,40.806949000662776,-73.94010171792972
4682,63,111,10035.0,70,12,2.0,1998,3672,0,3672,0,0,0,0,0,0,1,3.0,4,4,20.0,99.92,20.0,45.0,3.0,5.0,1909,1,0,1054122,0,40.80712212771997,-73.9405061349236
4683,71,111,10035.0,70,28,3.0,5000,26061,0,26061,0,0,0,0,0,0,1,7.0,28,28,50.0,100.0,50.0,88.0,3.0,2.0,1921,1,0,1054129,0,40.807328334101896,-73.9411922815777
4684,156,111,10035.0,70,10,2.0,1700,4400,0,4400,0,0,0,0,0,0,1,4.0,10,10,20.0,85.0,20.0,53.0,2.0,1.0,1909,1,0,1054141,0,40.80689961253075,-73.94013427258014
4685,10,111,10035.0,70,13,2.0,3747,5268,0,5268,0,0,0,0,0,0,1,4.0,8,8,37.5,99.92,18.0,72.0,2.0,1.0,1900,1,0,1054149,0,40.80750076312318,-73.94024210021294
4686,14,111,10035.0,70,10,2.0,4996,21186,0,21186,0,0,0,0,0,0,1,6.0,25,25,50.0,99.92,50.0,85.0,2.0,2.0,1905,1,0,1054152,0,40.807346870824844,-73.93988101144994
4687,69,111,10035.0,70,13,2.0,2741,12315,0,12315,0,0,0,0,0,0,1,5.0,14,14,24.92,110.0,25.0,104.0,2.0,2.0,1900,1,0,1054163,0,40.808093809943976,-73.94060279874358
4688,70,111,10035.0,70,10,2.0,5500,23082,0,23082,0,0,0,0,0,0,1,6.0,24,24,50.0,110.0,50.0,93.0,3.0,2.0,1921,1,0,1054164,0,40.808006014155815,-73.94067151088889
4689,4,111,10035.0,70,13,2.0,2000,5115,0,5115,0,0,0,0,0,0,1,4.0,8,8,20.0,100.0,20.0,50.0,3.0,1.0,1905,1,0,1054170,0,40.80850537657162,-73.94032789421301
4690,15,111,10035.0,70,78,4.0,1394,3320,1720,1600,0,800,0,0,0,920,1,3.0,2,4,19.92,70.0,20.0,63.0,2.0,0.0,1900,1,0,1076457,0,40.80784616835732,-73.93941818652148
4691,16,111,10035.0,70,9,2.0,1260,2322,0,2322,0,0,0,0,0,0,1,3.0,3,3,18.0,70.0,18.0,43.0,2.0,2.0,1905,1,0,1054178,0,40.80793945474667,-73.93935308018554
4692,36,111,10035.0,50,138,4.0,1383,3240,840,2400,0,0,0,840,0,0,1,4.0,3,4,19.75,70.0,19.75,42.0,0.0,5.0,1910,1,0,1054189,0,40.80740063613195,-73.93775333453162
4693,44,111,10035.0,70,13,2.0,2415,10230,0,10230,0,0,0,0,0,0,1,6.0,10,10,24.17,99.92,24.0,84.0,3.0,2.0,1920,1,0,1054193,0,40.807741170432784,-73.93810340826354
4694,49,111,10035.0,70,13,2.0,3747,14310,0,14310,0,0,0,0,0,0,1,5.0,10,10,37.5,99.92,38.0,83.0,3.0,2.0,1910,1,0,1054195,0,40.80791430833123,-73.9385150494695
4695,52,111,10035.0,70,96,8.0,3497,15970,15970,0,0,0,0,0,0,15970,1,5.0,32,32,35.0,99.92,35.0,93.0,2.0,2.0,1920,1,0,1054197,0,40.80801598997882,-73.93875336771197
