,Address,corx,cory
157,15 BROAD STREET,40.706531122758086,-74.01058958054963
158,63 WALL STREET,40.705628247955545,-74.00877523859072
159,67 WALL STREET,40.70554593301045,-74.00840012553986
160,55 WALL STREET,40.70593012746241,-74.00934154166822
161,20 EXCHANGE PLACE,40.705460754103775,-74.00956870098396
162,3 HANOVER SQUARE,40.705002373929446,-74.00962273602843
163,5 HANOVER SQUARE,40.70506828018297,-74.00923321910928
164,76 BEAVER STREET,40.705131439798876,-74.00885091451502
165,80 BEAVER STREET,40.705150661419474,-74.00874271514661
166,BEAVER STREET,0,0
167,82 BEAVER STREET,40.70521380670108,-74.00853353285032
168,85 BROAD STREET,40.70399217190658,-74.01105443740907
169,75 PEARL STREET,40.70399496174032,-74.01057475100569
170,77 PEARL STREET,40.7040416300057,-74.01049541165348
171,79 PEARL STREET,40.70408555345124,-74.0104160717613
172,81 PEARL STREET,40.70412947651788,-74.01034033843995
173,83 PEARL STREET,40.70417614333389,-74.01027542547517
174,52 STONE STREET,40.704220065348174,-74.01021051199912
175,58 STONE STREET,40.70436280834399,-74.01003741283536
176,1 WILLIAM STREET,40.704788247499536,-74.01003026347146
177,9 SOUTH WILLIAM STREET,40.704579624075265,-74.01027188096775
178,13 SOUTH WILLIAM STREET,40.70452197723269,-74.01034761271535
179,15 SOUTH WILLIAM STREET,40.70448354597639,-74.01039810047432
180,17 SOUTH WILLIAM STREET,40.704450603572205,-74.010455802421
181,19 SOUTH WILLIAM STREET,40.704414916044726,-74.01051711056863
182,75 BROAD STREET,40.704683834815974,-74.01123849408184
183,44 BEAVER STREET,40.70490345945796,-74.01078408472559
184,14 SOUTH WILLIAM STREET,40.70468936646606,-74.01079847691463
185,48 BEAVER STREET,40.70495564451586,-74.01040899427302
186,1 HANOVER SQUARE,40.704511043075314,-74.00983546017432
187,21 SOUTH WILLIAM STREET,40.70436549934275,-74.01063612348341
188,54 STONE STREET,40.704283202901735,-74.01012035457569
189,2 COENTIES SLIP,40.70365737109955,-74.01040518490926
190,76 PEARL STREET,40.70370678304392,-74.01033666622281
191,78 PEARL STREET,40.70375619559045,-74.0102609341244
192,80 PEARL STREET,40.7037754251956,-74.01007699761374
193,7 HANOVER SQUARE,40.704058172152294,-74.00965505977935
194,44 WATER STREET,40.703605247552375,-74.01010221841908
195,42 WATER STREET,40.703558579874354,-74.0101779508827
196,40 WATER STREET,40.703509168023515,-74.01024646953448
197,10 HANOVER SQUARE,40.70456876250199,-74.00885805320631
198,126 PEARL STREET,40.704807576987434,-74.00859479495477
199,90 WATER STREET,40.70467309367245,-74.0084577228319
200,75 WALL STREET,40.70504091654013,-74.008118737373
201,55 WATER STREET,40.70318263306731,-74.0091536122093
202,77 WATER STREET,40.70422571580793,-74.00819798506623
203,95 WALL STREET,40.70467589949878,-74.00758129387442
204,99 WALL STREET,40.704791200308215,-74.00726030968767
205,100 OLD SLIP,40.703676751412765,-74.00835661019879
206,77 FRONT STREET,40.70380854639891,-74.00769300163546
207,111 WALL STREET,40.70426422178887,-74.00699696445608
208,PIER 9,0,0
209,1 PIER 11,40.7029961999151,-74.00593648681834
210,13 SOUTH STREET,40.702153082324614,-74.01202069281622
211,PIER14 SOUTH STREET,0,0
212,120 WALL STREET,40.70476108265868,-74.00595828424281
213,110 WALL STREET,40.70490927872713,-74.00635503642604
214,129 FRONT STREET,40.70510142781404,-74.00606651650305
215,180 MAIDEN LANE,40.70526888620825,-74.00551470097074
216,100 WALL STREET,40.70524411719914,-74.00675541601294
217,88 PINE STREET,40.70566135438751,-74.0061675566912
218,82 WALL STREET,40.70545816211589,-74.0075092478925
219,80 WALL STREET,40.705620092269605,-74.0076751769129
220,160 PEARL STREET,40.70572166183936,-74.00747320995914
221,110 MAIDEN LANE,40.706147141892295,-74.00680239572429
222,126 WATER STREET,40.70558443905907,-74.0072315420478
223,122 WATER STREET,40.70554874912265,-74.00735777450372
224,120 WATER STREET,40.705504831044905,-74.00738662365501
225,164 PEARL STREET,40.70577382688878,-74.00724598965034
226,60 WALL STREET,40.70624035067856,-74.00850480994421
227,48 WALL STREET,40.70647635316544,-74.00912160326622
228,52 WILLIAM STREET,40.70670967421102,-74.00891604673586
229,73 PINE STREET,40.70596042766281,-74.00790244289081
230,60 PINE STREET,40.70672345343993,-74.00816943771261
231,56 WILLIAM STREET,40.70700612363135,-74.00872131750877
232,62 WILLIAM STREET,40.707096719423895,-74.00847245767926
233,50 PINE STREET,40.7069128122324,-74.00858063908572
234,54 PINE STREET,40.70684968988154,-74.0084832467501
235,56 PINE STREET,40.70683597738759,-74.00832815166478
236,66 PINE STREET,40.706462732218576,-74.00771494875038
237,100 MAIDEN LANE,40.70671802732632,-74.00722084457577
238,10 LIBERTY STREET,40.707362981613905,-74.00819476404153
239,80 MAIDEN LANE,40.70708578779213,-74.00780158490873
240,90 MAIDEN LANE,40.706910143512026,-74.00749137732693
241,44 WALL STREET,40.70678374556309,-74.00938494311877
242,40 WALL STREET,40.70697585119681,-74.00972040530263
243,30 WALL STREET,40.707096588200734,-74.01009914068572
244,26 WALL STREET,40.70731615430287,-74.01026869579954
245,26 NASSAU STREET,40.70776913662112,-74.00912538704044
246,18 PINE STREET,40.70772791523096,-74.00973494244975
247,2 WALL STREET,40.707730514484766,-74.01132557262184
248,100 BROADWAY,40.707966584191304,-74.0111200203963
249,14 WALL STREET,40.70762626745403,-74.01076288402643
250,120 BROADWAY,40.70821915870969,-74.01052131767499
251,140 BROADWAY,40.70865012276377,-74.01011741065342
252,75 BROADWAY,40.70814764416538,-74.01205784274237
253,111 BROADWAY,40.70871310847269,-74.01163954190797
254,115 BROADWAY,40.708935451305585,-74.0114700547645
255,2 RECTOR STREET,40.70808713764134,-74.01316875378987
256,68 TRINITY PLACE,40.70840829625878,-74.0129812580736
257,78 TRINITY PLACE,40.708756898174784,-74.01282983507612
258,123 GREENWICH STREET,40.708756898174784,-74.01282983507612
259,88 TRINITY PLACE,40.70897102972651,-74.01246557561143
260,96 TRINITY PLACE,40.70928394670246,-74.01233578377271
261,133 GREENWICH STREET,40.70933331679417,-74.0126640259976
262,137 GREENWICH STREET,40.709500748523745,-74.01265323690882
263,104 TRINITY PLACE,40.70945964999509,-74.01197151293958
264,120 LIBERTY STREET,40.709767011376385,-74.01246211748614
265,141 GREENWICH STREET,40.7098328703688,-74.01260280217677
266,112 TRINITY PLACE,40.70962983500983,-74.01187776220465
267,112 LIBERTY STREET,40.709561191886976,-74.01210859601116
268,114 LIBERTY STREET,40.70970390198376,-74.01227454287991
269,99 WASHINGTON STREET,40.70826543394639,-74.01412461731128
270,103 WASHINGTON STREET,40.70837248501919,-74.0140813571342
271,105 WASHINGTON STREET,40.70847130134449,-74.01404170199437
272,109 WASHINGTON STREET,40.70857286285676,-74.01399844039774
273,111 WASHINGTON STREET,40.708784218373424,-74.01392634623639
274,110 GREENWICH STREET,40.70872936448027,-74.01358007003938
275,108 GREENWICH STREET,40.70860584544832,-74.0136197209698
276,106 GREENWICH STREET,40.708542710336296,-74.01366659795526
277,102 GREENWICH STREET,40.70843291723393,-74.01368821689508
278,98 GREENWICH STREET,40.70830116171775,-74.0137459002584
279,96 GREENWICH STREET,40.70821332497756,-74.0137819511097
280,94A GREENWICH STREET,40.7081639166436,-74.01380358225695
281,94 GREENWICH STREET,40.708111763975005,-74.01382160591201
282,120 GREENWICH STREET,40.70900660669189,-74.01339977955357
283,123 WASHINGTON STREET,40.70916027646709,-74.0137136148908
284,5 ALBANY STREET,40.709827302523564,-74.0132989489876
285,71 WEST STREET,40.70902294240827,-74.01449629266736
286,80 WEST STREET,40.70942918676033,-74.01434128163883
287,40 RECTOR STREET,40.7086304207236,-74.01465851866068
288,140 WASHINGTON STREET,40.709846435962575,-74.01397345896036
289,90 WEST STREET,40.709991873446405,-74.01425844186872
290,148 WASHINGTON STREET,40.71035973222213,-74.01376075282202
291,155 CEDAR STREET,40.71038440198954,-74.01403489097133
292,97 WEST STREET,40.71035973222213,-74.01376075282202
293,185 GREENWICH STREET,40.71163895221414,-74.01234343376866
294,1 LIBERTY PLAZA,40.70975345149823,-74.01084258104547
295,10 CORTLANDT STREET,40.71023383240624,-74.0103268573649
296,22 CORTLANDT STREET,40.71046437680408,-74.01050002995599
297,21 DEY STREET,40.710596099737984,-74.01077779165642
