GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,GI_BA_X_CP,GI_BA_X_STREET,GI_BA_X_ARTERY,GI_BA_S_ZIP_CD1,BIN,Latitude,Longitude
,GREENWICH,ST,270,,WARREN,ST,10007,1087715,40.71562711,-74.01211691
,10,AV,3849,W,206,ST,10034,1064501,40.86347735,-73.91924465
E,121,ST,201,,3,AV,10035,1088270,40.80119182,-73.93728959
,MADISON,AV,1919,E,124,ST,10035,1081462,40.80443236,-73.94063135
E,124,ST,53-55,,PARK,AV,10035,1081382,40.80496743,-73.94033468
E,123,ST,177,,3,AV,10035,1054433,40.80280839,-73.93716887
,C,AV,67,E,5,ST,10009,1004644,40.72283926,-73.98010721
,B,AV,52,E,4,ST,10009,1004994,40.72324043,-73.98282369
,A,AV,194,E,12,ST,10009,1005196,40.72909747,-73.98104704
,B,AV,50-54,E,4,ST,10009,1004994,40.72324043,-73.98282369
,1,AV,118,E,7,ST,10009,1005814,40.72696543,-73.98543847
,AV A,,119,,SAINT MARKS,PL,10009,1005840,40.72650131,-73.98356969
,1,AV,100,E,6,ST,10009,1005769,40.7263781,-73.9858535
E,7,ST,94,,1,AV,10009,1005777,40.72660586,-73.98540608
,C,AV,111,E,7,ST,10009,1004719,40.72435965,-73.97894144
E,7,ST,128,,A,AV,10009,1005790,40.72607321,-73.98414705
,MADISON,AV,1798,,,,10035,1086005,40.80122013,-73.94433284
,PARK,AV,1752,,,,10035,1088883,40.80299712,-73.94112026
E,117,ST,306,,2,AV,10035,1079357,40.79710196,-73.9369106
E,121,ST,170,,3,AV,10035,1054382,40.80121166,-73.93845984
E,123,ST,120,,PARK,AV,10035,1054420,40.80311408,-73.93907213
,3,AV,2268-70,E,123,ST,10035,1054436,40.80277803,-73.93685826
W,41,ST,206,,7,AV,10036,1024650,40.75539312,-73.98808881
W,43,ST,240-48,,7,AV,10036,1087882,40.75716623,-73.98811737
W,45,ST,15,,5,AV,10036,1034249,40.75595196,-73.98018756
E,4,ST,235,,,,10009,1005028,40.72350391,-73.98267932
,B,AV,32,E,3,ST,10009,1004973,40.72260372,-73.98329646
,A,AV,110-12,E,7,ST,10009,1005082,40.72583157,-73.98337503
E,10,ST,297,,A,AV,10009,1005162,40.72791459,-73.98176896
,A,AV,160,E,10,ST,10009,1005164,40.72805459,-73.98186634
,ST MARKS,PL,104,,1,AV,10009,1005827,40.72702295,-73.98452205
,ST MARKS,PL,132,,A,AV,10009,1005837,40.72666048,-73.98338925
E,7,ST,130,,A,AV,10009,1005791,40.72607318,-73.98388728
,A,AV,101,E,6,ST,10009,1083477,40.72585087,-73.98404969
,A,AV,168,E,11,ST,10009,1005120,40.72815063,-73.98168952
E,1,ST,76,,1,AV,10009,1083474,40.72326032,-73.98812342
,1,AV,16,E,1,ST,10009,1005731,40.72338107,-73.98797548
,1,AV,112,E,7,ST,10009,1005774,40.72668549,-73.98562614
,ST MARKS,PL,122,,A,AV,10009,1005833,40.7267731,-73.98393041
E,9,ST,649-651,,C,AV,10009,1004778,40.7255123,-73.97814375
W,42,ST,11,,,,10036,1034198,40.75430263,-73.98179062
E,21,ST,16,,BROADWAY,,10010,1016224,40.73957801,-73.98942321
W,42,ST,412,,9,AV,10036,1026330,40.75835788,-73.99350992
E,22,ST,25,,BROADWAY,,10010,1016282,40.74026132,-73.98806265
E,22,ST,300-310,,2,AV,10010,1020567,40.73684591,-73.98104483
W,43,ST,18,,5,AV,10036,1034198,40.75430263,-73.98179062
E,24,ST,42790,,MADISON,AV,10010,1016741,40.74126857,-73.98735516
E,25,ST,201,,3,AV,10010,1019821,40.74019736,-73.98173673
,2,AV,433,E,25,ST,10010,1019793,40.73910747,-73.98034413
W,45,ST,7,,5,AV,10036,1034250,40.75589704,-73.98005763
W,45,ST,55,,5,AV,10036,1034267,40.75649014,-73.98146155
,2,AV,435-37,E,25,ST,10010,1019793,40.73910747,-73.98034413
,3,AV,366,E,26,ST,10010,1018145,40.74121019,-73.98184472
W,14,ST,21-29,,5,AV,10011,1015290,40.73680069,-73.99473528
W,22,ST,146-148,,6,AV,10011,1014780,40.74280622,-73.99522921
,8,AV,249-259,W,23,ST,10011,1013429,40.74518327,-73.99898229
W,24,ST,463,,10,AV,10011,1076125,40.74832871,-74.00333839
W,45,ST,17,,5,AV,10036,1034248,40.75600139,-73.98030666
,8,AV,688,W,43,ST,10036,1024704,40.75805834,-73.98877416
,WASHINGTON,PL,88-98,,6,AV,10011,1008869,40.7319618,-74.00041494
,9,AV,659,W,46,ST,10036,1026455,40.76088563,-73.99119943
W,14,ST,241,,7,AV,10011,1013717,40.73951536,-74.00124136
,8,AV,157,W,18,ST,10011,1087673,40.74224364,-74.00103571
