Lat,Lon,GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,Address,Latitude,Longitude
2.47099999981515E-05,6.13400000020192E-05,E,34,ST,58,56 EAST 34 STREET,40.7471444,-73.98221122
2.47100000052569E-05,5.77400000025818E-05,E,34,ST,58,60 EAST 34 STREET,40.7471444,-73.98221122
2.74699999991412E-05,0.000270540000002484,,MURRAY,ST,18,25 PARK PLACE,40.71341242,-74.00846965
2.77099999976826E-05,0.000476720000008868,E,117,ST,306,318 EAST 117 STREET,40.79710196,-73.9369106
3.01999999976488E-05,0.000162369999998191,W,10,ST,228,224 WEST 10 STREET,40.73371833,-74.00513097
3.02199999993036E-05,7.2189999997363E-05,E,82,ST,127,125 EAST 82 STREET,40.77723959,-73.9576653
3.29199999953289E-05,0.00045090000000414,E,BROADWAY,,26,36 EAST BROADWAY,40.7137201,-73.99676435
3.56600000017693E-05,0.000371559999990723,,ALLEN,ST,9,18 ELDRIDGE STREET,40.71487273,-73.99303799
3.56799999963187E-05,0.000140729999998257,W,10,ST,228,232 WEST 10 STREET,40.73371833,-74.00513097
3.84199999956536E-05,0.000119109999999978,,7,AV,352,356 7 AVENUE,40.7483505,-73.99299841
4.13499999964984E-05,0.000357600000000957,W,127,ST,104,114 WEST 127 STREET,40.80916098,-73.94508479
4.39300000039111E-05,0.000104640000003542,E,22,ST,25,27 EAST 22 STREET,40.74026132,-73.98806265
4.66699999961406E-05,0.000263400000008573,,CHRISTOPHER,ST,91,85 CHRISTOPHER STREET,40.73360584,-74.00412425
4.66700000032461E-05,0.000339170000003719,W,10,ST,228,236 WEST 10 STREET,40.73371833,-74.00513097
4.66899999977954E-05,0.000108290000000011,E,79,ST,53,59 EAST 79 STREET,40.77633515,-73.96144977
4.93999999946482E-05,0.000119089999998323,W,14,ST,243,245 WEST 14 STREET,40.73955104,-74.00132435
4.9410000002581E-05,0.000115489999998886,W,34,ST,130,134 WEST 34 STREET,40.75016451,-73.98937461
4.9419999996303E-05,0.000169529999993756,,CANAL,ST,93,89 CANAL STREET,40.71559464,-73.99360426
4.94399999979578E-05,0.000115559999997572,W,110,ST,544-46,542 CATHEDRAL PARKWAY,40.80356155,-73.96590574
5.21400000010885E-05,0.000126300000005131,E,16,ST,19,33 UNION SQUARE,40.73680595,-73.99109436
5.49099999958003E-05,0.000133529999999382,W,35,ST,27,29 WEST 35 STREET,40.7498841,-73.98534684
5.49099999958003E-05,0.000274230000002262,W,10,ST,228,220 WEST 10 STREET,40.73371833,-74.00513097
5.49199999966277E-05,0.000133599999998069,W,86,ST,131-135,129 WEST 86 STREET,40.78722686,-73.97326285
5.49599999999373E-05,0.000126379999997539,W,129,ST,1,5 WEST 129 STREET,40.80937021,-73.94080757
5.76800000047228E-05,0.000137199999997506,W,86,ST,131-135,137 WEST 86 STREET,40.78722686,-73.97326285
6.30999999984283E-05,5.06000000086715E-05,,3,AV,1580,1582 3 AVENUE,40.78072909,-73.95300151
6.31200000000831E-05,4.69799999933684E-05,,AMSTERDAM,AV,768,770 AMSTERDAM AVENUE,40.79520223,-73.96992252
6.31200000000831E-05,0.0003644500000064,W,12,ST,66,71 WEST 11 STREET,40.73543938,-73.99729011
6.31500000025653E-05,0.000151569999999879,W,35,ST,40,36 WEST 35 STREET,40.74970853,-73.98609036
6.33299999961423E-05,0.000408149999998386,W,127,ST,104,116 WEST 127 STREET,40.80916098,-73.94508479
6.58700000002455E-05,0.000144300000002318,,WHITE,ST,64-66,60 WHITE STREET,40.71841364,-74.0033405
6.58800000010729E-05,0.000158769999998754,W,18,ST,15,11 WEST 18 STREET,40.73915558,-73.99281173
6.59699999943086E-05,0.000158970000001091,W,179,ST,535,539 WEST 179 STREET,40.84789124,-73.93384435
6.86300000012352E-05,0.000162389999999846,W,28,ST,127,131 WEST 28 STREET,40.7467914,-73.99172821
6.86900000061996E-05,0.000259869999993612,E,57,ST,201,207 EAST 57 STREET,40.76032957,-73.96708298
7.14999999971155E-05,0.000285259999998289,E,111,ST,163,167 EAST 111 STREET,40.7954723,-73.94356837
7.684999999924E-05,0.000129920000006223,W,21,ST,1,164 5 AVENUE,40.74058545,-73.99080877
7.96500000035394E-05,0.000187659999994594,E,58,ST,240,246 EAST 58 STREET,40.7600574,-73.96557064
8.24000000037017E-05,0.000194919999998433,E,79,ST,53,63 EAST 79 STREET,40.77633515,-73.96144977
8.25300000002471E-05,0.00047656000000984,E,86,ST,163,1536 3 AVENUE,40.77936282,-73.95452982
8.50799999980723E-05,0.000151590000001534,,7,AV,352,358 7 AVENUE,40.7483505,-73.99299841
8.50799999980723E-05,0.000202080000008209,W,14,ST,241,245 WEST 14 STREET,40.73951536,-74.00124136
9.05599999967421E-05,6.86700000045448E-05,,AMSTERDAM,AV,969,965 AMSTERDAM AVENUE,40.80132697,-73.96465715
9.05899999992243E-05,0.0002778300000017,,PERRY,ST,101,97 PERRY STREET,40.73533771,-74.00575173
9.05900000063298E-05,0.000147990000002096,,9,AV,659,402 WEST 46 STREET,40.76088563,-73.99119943
9.33500000002141E-05,0.000220160000012015,W,41,ST,206,208 WEST 41 STREET,40.75539312,-73.98808881
8.7839999999062E-05,7.21600000019862E-05,W,BROADWAY,,392-394,390 WEST BROADWAY,40.7242051,-74.00253986
8.78499999998894E-05,0.000487119999988295,W,11,ST,63-69,60 WEST 12 STREET,40.73543938,-73.99729011
9.05699999975695E-05,6.49899999984882E-05,,3,AV,523,519 3 AVENUE,40.74619663,-73.97745848
9.06299999954285E-05,0.000213029999997616,W,95,ST,118,126 WEST 95 STREET,40.79236394,-73.96902455
9.31900000011865E-05,0.000433490000006032,W,110,ST,544-46,251 WEST 109 STREET,40.80356155,-73.96590574
9.33200000048373E-05,0.000220119999994495,W,13,ST,227-29,235 WEST 13 STREET,40.73859312,-74.00138929
9.34100000051785E-05,0.000223819999987995,,MADISON,AV,1266,17 EAST 90 STREET,40.78373068,-73.95710508
9.88799999959156E-05,0.000234579999997209,E,58,ST,234,242 EAST 58 STREET,40.76012882,-73.96574387
9.88999999975704E-05,0.00023824000000161,E,82,ST,127,121 EAST 82 STREET,40.77723959,-73.9576653
0.00010151000000036,0.000487229999990291,W,29,ST,28-30,37 WEST 28 STREET,40.74592932,-73.98894221
0.000101520000001187,7.23200000010138E-05,,3,AV,2114,2118 3 AVENUE,40.79777087,-73.94055783
0.000101530000002015,7.22399999943946E-05,E,58,ST,250,1097 2 AVENUE,40.75999139,-73.96511947
0.000104540000002373,0.000462259999991943,E,124,ST,53-55,1931 MADISON AVENUE,40.80496743,-73.94033468
0.000107059999997716,0.000259820000010791,W,20,ST,121,123 WEST 20 STREET,40.74156009,-73.99487203
0.000107059999997716,0.000476210000002197,,BROADWAY,,552,558 BROADWAY,40.72369733,-73.99793998
